Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.815612083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.815613083333333, 0, 1, 0, 1, 1, 1, 1, 1
2.815663250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.815663333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.815688916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.815689916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.815740083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.815740166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.815944916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.815945916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.816021666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.816021750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.816226500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.816227500000000, 0, 1, 0, 1, 1, 1, 1, 1
2.816303333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.816303416666667, 0, 0, 1, 1, 1, 1, 1, 1
2.816508166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.816509166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.816584916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.816585000000000, 0, 0, 1, 1, 1, 1, 1, 1
2.816789750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.816790750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.816866583333333, 0, 0, 1, 1, 1, 1, 1, 1
2.817071416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.817072416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.817148166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.817148250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.817353000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.817354000000000, 0, 1, 0, 1, 1, 1, 1, 1
2.817429750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.817429833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.817634583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.817635583333333, 0, 1, 0, 1, 1, 1, 1, 1
2.817711416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.817711500000000, 0, 0, 1, 1, 1, 1, 1, 1
2.817762666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.817763666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.817865000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.817865083333333, 0, 0, 1, 1, 1, 1, 1, 1
2.817916250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.817917250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.818556250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.818556333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.818581916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.818582916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.818684250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.818684333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.818786666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.818787666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.830421083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.830421166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.830577083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.830578166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.830629083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.830629166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.830655083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.830656166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.830707083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.830707166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.830733083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.830734166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.830889166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.830915083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.830916166666667, 0, 1, 0, 1, 1, 1, 1, 1
